"Ward_No","Ward Name","Area (sq km)","Road length (kms)"
"1","Kempegowda Ward","10.9","86"
"2","Chowdeswari Ward","6.5","72"
"3","Atturu","8.8","169"
"4","Yelahanka Satellite Town","4.6","86"
"5","Jakkuru","23.5","349"
"6","Thanisandra","10","235"
"7","Byatarayanapura","10","144"
"8","Kodigehalli","3.8","84"
"9","Vidyaranyapura","9.9","130"
"10","Dodda Bommasandra","4.2","51"
"11","Kuvempu Nagar","7.1","95"
"12","Shettihalli","8.1","144"
"13","Mallasandra","1.3","40"
"14","Bagalakunte","4.3","123"
"15","T Dasarahalli","0.9","29"
"16","Jalahalli","5.2","36"
"17","J P Park","2","52"
"18","Radhakrishna Temple Ward","1.9","54"
"19","Sanjaya Nagar","1.5","44"
"20","Ganga Nagar","2.3","31"
"21","Hebbala","1.2","36"
"22","Vishwanath Nagenahalli","1.5","51"
"23","Nagavara","2.1","65"
"24","HBR Layout","4.6","119"
"25","Horamavu","17.5","341"
"26","Ramamurthy Nagar","7.3","144"
"27","Banasavadi","3.4","101"
"28","Kammanahalli","1","43"
"29","Kacharkanahalli","1.7","55"
"30","Kadugondanahalli","0.7","32"
"31","Kushal Nagar","0.6","28"
"32","Kaval Bairasandra","1.6","50"
"33","Manorayana Palya","0.8","33"
"34","Gangenahalli","1.1","20"
"35","Aramane Nagara","7.5","57"
"36","Mattikere","0.9","32"
"37","Yeshwanthpura","0.8","25"
"38","HMT Ward","5.2","74"
"39","Chokkasandra","3.8","75"
"40","Dodda Bidarakallu","12.9","282"
"41","Peenya Industrial Area","5.5","90"
"42","Lakshmi Devi Nagar","1.5","36"
"43","Nandini Layout","1.4","49"
"44","Marappana Palya","2","52"
"45","Malleshwaram","1.8","34"
"46","Jayachamarajendra Nagar","0.9","29"
"47","Devara Jeevanahalli","1.4","28"
"48","Muneshwara Nagar","0.5","21"
"49","Lingarajapura","0.9","36"
"50","Benniganahalli","4.9","64"
"51","Vijnanapura","2.1","55"
"52","KR Puram","4.8","83"
"53","Basavanapura","6.3","126"
"54","Hudi","15","197"
"55","Devasandra","3.5","45"
"56","A Narayanapura","2.1","52"
"57","C.V. Raman Nagar","3.6","67"
"58","New Tippa Sandra","3.4","68"
"59","Maruthi Seva Nagar","2.4","45"
"60","Sagayara Puram","0.8","26"
"61","SK Garden","1.3","26"
"62","Ramaswamy Palya","0.8","24"
"63","Jaya Mahal","1.4","34"
"64","Raj Mahal Guttahalli","0.7","24"
"65","Kadu Malleshwar Ward","1.4","32"
"66","Subramanya Nagar","0.9","28"
"67","Nagapura","1.8","47"
"68","Mahalakshmipuram","0.9","33"
"69","Laggere","1.6","55"
"70","Rajagopal Nagar","2.2","67"
"71","Hegganahalli","1.8","56"
"72","Herohalli","7.8","184"
"73","Kottegepalya","5.8","139"
"74","Shakthi Ganapathi Nagar","0.7","28"
"75","Shankar Matt","1.1","40"
"76","Gayithri Nagar","0.6","28"
"77","Dattatreya Temple Ward","0.7","25"
"78","Pulakeshi Nagar","1.7","41"
"79","Sarvagna Nagar","3.6","52"
"80","Hoysala Nagar","2.1","51"
"81","Vijnana Nagar","5.7","106"
"82","Garudachar palya","6.8","70"
"83","Kadugodi","11.2","101"
"84","Hagadur","12.6","154"
"85","Dodda Nekkundi","12","155"
"86","Marathahalli","3.1","53"
"87","HAL Airport","6.8","41"
"88","Jeevanbhima Nagar","1.9","47"
"89","Jogupalya","0.9","30"
"90","Halsoor","1.7","34"
"91","Bharathi Nagar","0.8","30"
"92","Shivaji Nagar","0.4","22"
"93","Vasanth Nagar","3.1","47"
"94","Gandhi Nagar","1.9","38"
"95","Subhash Nagar","1.3","27"
"96","Okalipuram","0.8","21"
"97","Dayananda Nagar","0.4","20"
"98","Prakash Nagar","0.6","20"
"99","Rajaji Nagar","0.9","27"
"100","Basaveshwara Nagar","0.8","26"
"101","Kamakshipalya","0.9","28"
"102","Vrisahbhavathi Nagar","1","40"
"103","Kaveripura","1.7","48"
"104","Govindaraja Nagar","0.8","26"
"105","Agrahara Dasarahalli","0.8","28"
"106","Dr.Raj Kumar Ward","1","30"
"107","Shiva Nagar","0.8","28"
"108","Sri Rama Mandir Ward","1.1","33"
"109","Chickpete","0.7","38"
"110","Sampangiram Nagar","4.4","58"
"111","Shantala Nagar","4","61"
"112","Domlur","1.7","51"
"113","Konena Agrahara","2.1","47"
"114","Agaram","11","35"
"115","Vannar Pet","0.8","30"
"116","Nilasandra","0.5","30"
"117","Shanthi Nagar","2.7","43"
"118","Sudham Nagar","1","30"
"119","Dharmaraya Swamy Temple","1.1","41"
"120","Cottonpete","0.8","26"
"121","Binni Pete","0.8","27"
"122","Kempapura Agrahara","0.4","16"
"123","Vijaya Nagar","0.7","27"
"124","Hosahalli","0.9","33"
"125","Marenahalli","0.7","23"
"126","Maruthi Mandir Ward","0.8","26"
"127","Mudalapalya","1","37"
"128","Nagarabhavi","1.6","45"
"129","Jnana Bharathi Ward","11.9","233"
"130","Ullalu","8.7","235"
"131","Nayandahalli","2.1","40"
"132","Attiguppe","1.4","46"
"133","Hampi Nagar","1.1","38"
"134","Bapuji Nagar","0.7","23"
"135","Padarayanapura","0.3","13"
"136","Jagajivanaram Nagar","0.6","20"
"137","Rayapuram","0.4","16"
"138","Chelavadi Palya","0.4","14"
"139","KR Market","0.8","26"
"140","Chamraja Pet","1","34"
